ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
"ISM, Nebulae",ISM: general,exactMatch,Interstellar medium,http://astrothesaurus.org/uat/847
"ISM, Nebulae",ISM: individual objects (except planetary nebulae),(no match),,
"ISM, Nebulae",ISM: jets and outflows,relatedMatch,Stellar winds,http://astrothesaurus.org/uat/1636
"ISM, Nebulae",ISM: jets and outflows,relatedMatch,Jets,http://astrothesaurus.org/uat/870
"ISM, Nebulae",ISM: kinematics and dynamics,(no match),,
"ISM, Nebulae",ISM: lines and bands,relatedMatch,Interstellar line emission,http://astrothesaurus.org/uat/844
"ISM, Nebulae",ISM: magnetic fields,exactMatch,Interstellar magnetic fields,http://astrothesaurus.org/uat/845
"ISM, Nebulae",ISM: molecules,exactMatch,Interstellar molecules,http://astrothesaurus.org/uat/849
"ISM, Nebulae",ISM: structure,(no match),,
"ISM, Nebulae",ISM: supernova remnants,exactMatch,Supernova remnants,http://astrothesaurus.org/uat/1667
Phys Processes,acceleration of particles,relatedMatch,Interplanetary particle acceleration,http://astrothesaurus.org/uat/826
Phys Processes,"accretion, accretion disks",relatedMatch,Accretion,http://astrothesaurus.org/uat/14
Phys Processes,"accretion, accretion disks",narrowMatch,Stellar accretion,http://astrothesaurus.org/uat/1578
Phys Processes,"accretion, accretion disks",narrowMatch,Stellar accretion disks,http://astrothesaurus.org/uat/1579
Phys Processes,"accretion, accretion disks",narrowMatch,Bondi accretion,http://astrothesaurus.org/uat/174
Phys Processes,"accretion, accretion disks",narrowMatch,Galaxy accretion disks,http://astrothesaurus.org/uat/562
Phys Processes,"accretion, accretion disks",narrowMatch,Galaxy accretion,http://astrothesaurus.org/uat/575
Phys Processes,asteroseismology,exactMatch,Asteroseismology,http://astrothesaurus.org/uat/73
Phys Processes,astrobiology,exactMatch,Astrobiology,http://astrothesaurus.org/uat/74
Phys Processes,astrochemistry,exactMatch,Astrochemistry,http://astrothesaurus.org/uat/75
Phys Processes,astroparticle physics,exactMatch,Astroparticle physics,http://astrothesaurus.org/uat/96
Phys Processes,atomic data,relatedMatch,Atomic data benchmarking,http://astrothesaurus.org/uat/2064
Phys Processes,atomic processes,(no match),,
Phys Processes,black hole physics,exactMatch,Black hole physics,http://astrothesaurus.org/uat/159
Phys Processes,chaos,(no match),,
Phys Processes,conduction,(no match),,
Phys Processes,convection,relatedMatch,Solar convective zone,http://astrothesaurus.org/uat/1998
Phys Processes,convection,relatedMatch,Stellar convection envelopes,http://astrothesaurus.org/uat/299
Phys Processes,convection,relatedMatch,Stellar convective shells,http://astrothesaurus.org/uat/300
Phys Processes,convection,relatedMatch,Stellar convective zones,http://astrothesaurus.org/uat/301
Phys Processes,dense matter,relatedMatch,Matter density,http://astrothesaurus.org/uat/1014
Phys Processes,dense matter,relatedMatch,Mean matter density,http://astrothesaurus.org/uat/1020
Phys Processes,diffusion,relatedMatch,Stellar diffusion,http://astrothesaurus.org/uat/1593
Phys Processes,dynamo,relatedMatch,Magnetic fields,http://astrothesaurus.org/uat/994
Phys Processes,elementary particles,(no match),,
Phys Processes,equation of state,(no match),,
Phys Processes,gravitation,exactMatch,Gravitation,http://astrothesaurus.org/uat/661
Phys Processes,gravitational lensing: micro,exactMatch,Gravitational microlensing,http://astrothesaurus.org/uat/672
Phys Processes,gravitational lensing: strong,exactMatch,Strong gravitational lensing,http://astrothesaurus.org/uat/1643
Phys Processes,gravitational lensing: weak,exactMatch,Weak gravitational lensing,http://astrothesaurus.org/uat/1797
Phys Processes,gravitational waves,exactMatch,Gravitational waves,http://astrothesaurus.org/uat/678
Phys Processes,hydrodynamics,exactMatch,Hydrodynamics,http://astrothesaurus.org/uat/1963
Phys Processes,instabilities,relatedMatch,Gravitational instability,http://astrothesaurus.org/uat/668
Phys Processes,line: formation,relatedMatch,Laboratory astrophysics,http://astrothesaurus.org/uat/2004
Phys Processes,line: identification,exactMatch,Spectral line identification,http://astrothesaurus.org/uat/2073
Phys Processes,line: profiles,relatedMatch,Laboratory astrophysics,http://astrothesaurus.org/uat/2004
Phys Processes,magnetic fields,exactMatch,Magnetic fields,http://astrothesaurus.org/uat/994
Phys Processes,magnetic reconnection,relatedMatch,Solar magnetic reconnection,http://astrothesaurus.org/uat/1504
Phys Processes,magnetohydrodynamics (MHD),exactMatch,Magnetohydrodynamics,http://astrothesaurus.org/uat/1964
Phys Processes,masers,narrowMatch,Megamasers,http://astrothesaurus.org/uat/1023
Phys Processes,masers,narrowMatch,Astrophysical masers,http://astrothesaurus.org/uat/103
